年,年,凭证号,分录号,摘要,科目编码,科目名称,辅助项,币种, 借方 ,贷方
07,20,记账-0080,1,李志慧报销餐费,660111,660111\销售费用\业务招待费,【部门档案：培训事业中心】【软件项目辅助核算：民航项目公摊】,人民币," 6,980.00 ",
07,20,记账-0082,1,廖鹏远报销费用-远景能源风电,660111,660111\销售费用\业务招待费,【部门档案：培训销售部】【软件项目辅助核算：风电场VR训练平台】,人民币, 230.42 ,
07,20,记账-0082,2,廖鹏远报销费用-中国商飞模拟器,660111,660111\销售费用\业务招待费,【部门档案：培训销售部】【软件项目辅助核算：中国商飞模拟器及训练产品销售项目】,人民币, 656.00 ,
07,20,记账-0083,1,汤志燕报销餐费-电子监测仪,660111,660111\销售费用\业务招待费,【部门档案：营销中心】【软件项目辅助核算：电子监测仪】,人民币," 1,329.00 ",
07,20,记账-0083,2,汤志燕报销车费,660109,660109\销售费用\差旅费,【部门档案：营销中心】【软件项目辅助核算：北京项目公摊】,人民币, 130.45 ,
07,20,记账-0083,3,汤志燕报销餐费-电子监测仪,660111,660111\销售费用\业务招待费,【部门档案：营销中心】【软件项目辅助核算：电子监测仪】,人民币, 858.00 ,
07,20,记账-0083,4,汤志燕出差西安-电子监测仪,660109,660109\销售费用\差旅费,【部门档案：营销中心】【软件项目辅助核算：电子监测仪】,人民币," 1,993.01 ",
07,20,记账-0084,1,汤军报销餐费-310所体系评估,660111,660111\销售费用\业务招待费,【部门档案：营销中心】【软件项目辅助核算：310所体系评估】,人民币, 162.00 ,
07,20,记账-0084,2,汤军报销餐费-32所体系评估,660111,660111\销售费用\业务招待费,【部门档案：营销中心】【软件项目辅助核算：32基地数据分析】,人民币, 158.00 ,
07,20,记账-0085,4,孙敏报销住宿费-310所体系评估,660109,660109\销售费用\差旅费,【部门档案：营销中心】【软件项目辅助核算：310所体系评估】,人民币, 512.16 ,
07,21,记账-0094,1,俞春荣报销费用,660111,660111\销售费用\业务招待费,【部门档案：营销中心】【软件项目辅助核算：北京项目公摊】,人民币," 1,152.80 ",
07,21,记账-0095,1,董梁报销标书费-SBT虚拟仿真训练,660113,660113\销售费用\投标费,【部门档案：培训销售部】【软件项目辅助核算：SBT虚拟仿真训练系统】,人民币," 1,500.00 ",
07,21,记账-0097,1,俞春荣报销费用-空降兵头盔,660111,660111\销售费用\业务招待费,【部门档案：营销中心】【软件项目辅助核算：空降兵特种作战增强现实头盔】,人民币," 2,030.00 ",
07,21,记账-0097,2,俞春荣报销费用-空降兵头盔,660111,660111\销售费用\业务招待费,【部门档案：营销中心】【软件项目辅助核算：空降兵特种作战增强现实头盔】,人民币," 5,068.50 ",
07,21,记账-0097,3,俞春荣报销费用-kj体系贡献率,660111,660111\销售费用\业务招待费,【部门档案：营销中心】【软件项目辅助核算：kj体系贡献率评估项目】,人民币," 9,300.00 ",
07,21,记账-0097,4,俞春荣报销费用-面向体系论证评估,660111,660111\销售费用\业务招待费,【部门档案：营销中心】【软件项目辅助核算：面向体系论证评估的机器学习应用关键技术研究】,人民币," 9,980.00 ",
07,21,记账-0120,1,程冠豪出差烟台-SBT虚拟仿真训练,660109,660109\销售费用\差旅费,【部门档案：培训销售部】【软件项目辅助核算：SBT虚拟仿真训练系统】,人民币," 1,869.55 ",
07,21,记账-0134,1,廖鹏远报销餐费-中国商飞模拟器,660111,660111\销售费用\业务招待费,【部门档案：培训销售部】【软件项目辅助核算：中国商飞模拟器及训练产品销售项目】,人民币," 2,250.00 ",
07,21,记账-0134,2,廖鹏远报销餐费-电力板块销售,660111,660111\销售费用\业务招待费,【部门档案：培训销售部】【软件项目辅助核算：大电力板块（包含风电+输电体系）】,人民币, 750.00 ,
07,21,记账-0134,3,廖鹏远报销餐费-障碍物智能评估,660111,660111\销售费用\业务招待费,【部门档案：培训销售部】【软件项目辅助核算：障碍物智能评估系统】,人民币," 1,681.00 ",
07,21,记账-0137,1,廖鹏远出差西安-SBT虚拟仿真训练程序,660109,660109\销售费用\差旅费,【部门档案：培训销售部】【软件项目辅助核算：SBT虚拟仿真训练系统】,人民币," 2,101.59 ",
07,21,记账-0137,4,廖鹏远出差上海-中国商飞模拟器,660109,660109\销售费用\差旅费,【部门档案：培训销售部】【软件项目辅助核算：中国商飞模拟器及训练产品销售项目】,人民币," 1,680.93 ",
07,21,记账-0137,7,廖鹏远报销车费-SBT虚拟仿真训练程序,660109,660109\销售费用\差旅费,【部门档案：培训销售部】【软件项目辅助核算：SBT虚拟仿真训练系统】,人民币, 500.00 ,
07,21,记账-0139,1,汤志燕出差合肥,660109,660109\销售费用\差旅费,【部门档案：营销中心】【软件项目辅助核算：北京项目公摊】,人民币, 470.09 ,
07,21,记账-0139,3,汤志燕报销标书费,660113,660113\销售费用\投标费,【部门档案：营销中心】【软件项目辅助核算：北京项目公摊】,人民币," 1,000.00 ",
07,21,记账-0139,4,汤志燕报销快递费,660108,660108\销售费用\办公费,【部门档案：营销中心】【软件项目辅助核算：北京项目公摊】,人民币, 96.00 ,
07,21,记账-0140,1,汤志燕报销费用-电子监测仪,660111,660111\销售费用\业务招待费,【部门档案：营销中心】【软件项目辅助核算：电子监测仪】,人民币," 6,550.00 ",
07,21,记账-0140,2,汤志燕报销交通费,660109,660109\销售费用\差旅费,【部门档案：营销中心】【软件项目辅助核算：北京项目公摊】,人民币, 94.09 ,
07,21,记账-0141,1,董梁报销费用-电科27所,660111,660111\销售费用\业务招待费,【部门档案：培训销售部】【软件项目辅助核算：电科27所试验数据服务系统】,人民币," 2,424.00 ",
07,21,记账-0141,2,董梁报销费用,660111,660111\销售费用\业务招待费,【部门档案：培训销售部】【软件项目辅助核算：民航项目公摊】,人民币, 660.00 ,
07,21,记账-0142,1,郝琳出差无锡-无锡一所体系评估,660109,660109\销售费用\差旅费,【部门档案：营销中心】【软件项目辅助核算：无锡一所体系评估】,人民币," 1,147.23 ",
07,21,记账-0142,4,郝琳报销餐费-三维仿真建模,660111,660111\销售费用\业务招待费,【部门档案：营销中心】【软件项目辅助核算：三维伪装场景仿真建模】,人民币, 585.00 ,
07,21,记账-0144,1,俞春荣报销餐费,660111,660111\销售费用\业务招待费,【部门档案：营销中心】【软件项目辅助核算：北京项目公摊】,人民币," 2,124.00 ",
07,21,记账-0144,2,俞春荣报销车费,660109,660109\销售费用\差旅费,【部门档案：营销中心】【软件项目辅助核算：北京项目公摊】,人民币, 138.00 ,
07,21,记账-0146,1,杨刚出差嘉兴-310所体系评估,660109,660109\销售费用\差旅费,【部门档案：营销中心】【软件项目辅助核算：310所体系评估】,人民币, 686.02 ,
07,21,记账-0147,1,郝琳出差西安、宝鸡-32基地数据分析,660109,660109\销售费用\差旅费,【部门档案：营销中心】【软件项目辅助核算：32基地数据分析】,人民币," 1,937.91 ",
07,21,记账-0147,5,郝琳报销餐费-三维仿真建模,660111,660111\销售费用\业务招待费,【部门档案：营销中心】【软件项目辅助核算：三维伪装场景仿真建模】,人民币," 1,795.00 ",
07,21,记账-0156,1,叶静报销过路费,660110,660110\销售费用\汽车费,【部门档案：培训事业中心】【软件项目辅助核算：民航项目公摊】,人民币, 20.00 ,
07,21,记账-0161,1,俞春荣报销车费,660109,660109\销售费用\差旅费,【部门档案：营销中心】【软件项目辅助核算：北京项目公摊】,人民币, 26.00 ,
07,21,记账-0161,2,俞春荣报销费用-电子监测仪,660111,660111\销售费用\业务招待费,【部门档案：营销中心】【软件项目辅助核算：电子监测仪】,人民币," 9,255.00 ",
07,21,记账-0162,2,侯勉报销打印费,660108,660108\销售费用\办公费,【部门档案：营销中心】【软件项目辅助核算：北京项目公摊】,人民币," 4,300.00 ",
07,21,记账-0185,1,俞春荣报销打车费,660109,660109\销售费用\差旅费,【部门档案：营销中心】【软件项目辅助核算：北京项目公摊】,人民币, 20.00 ,
07,21,记账-0185,2,俞春荣报销,660111,660111\销售费用\业务招待费,【部门档案：营销中心】【软件项目辅助核算：北京项目公摊】,人民币, 897.00 ,
07,21,记账-0194,2,叶静报销出差补贴,660109,660109\销售费用\差旅费,【部门档案：营销中心】【软件项目辅助核算：北京项目公摊】,人民币, 100.00 ,
07,21,记账-0195,1,廖鹏远报销-中国商飞模拟器,660111,660111\销售费用\业务招待费,【部门档案：培训销售部】【软件项目辅助核算：中国商飞模拟器及训练产品销售项目】,人民币," 1,017.50 ",
07,21,记账-0195,2,廖鹏远报销-SBT虚拟仿真训练系统,660111,660111\销售费用\业务招待费,【部门档案：培训销售部】【软件项目辅助核算：SBT虚拟仿真训练系统】,人民币," 1,850.00 ",
07,21,记账-0195,3,廖鹏远报销打车费,660109,660109\销售费用\差旅费,【部门档案：培训销售部】【软件项目辅助核算：民航项目公摊】,人民币, 188.71 ,
07,21,记账-0197,1,张文出差上海调研,660109,660109\销售费用\差旅费,【部门档案：营销中心】【软件项目辅助核算：北京项目公摊】,人民币, 674.05 ,
07,21,记账-0197,3,张文出差上海调研,660109,660109\销售费用\差旅费,【部门档案：营销中心】【软件项目辅助核算：北京项目公摊】,人民币, 551.89 ,
07,21,记账-0209,1,廖鹏远报销,660111,660111\销售费用\业务招待费,【部门档案：培训销售部】【软件项目辅助核算：民航项目公摊】,人民币," 2,313.00 ",
07,21,记账-0220,1,汤志燕报销费用-电子监测仪,660111,660111\销售费用\业务招待费,【部门档案：营销中心】【软件项目辅助核算：电子监测仪】,人民币," 2,891.00 ",
07,21,记账-0220,2,汤志燕报销费用-南炮,660111,660111\销售费用\业务招待费,【部门档案：营销中心】【软件项目辅助核算：南炮训练中心建设】,人民币, 788.00 ,
07,21,记账-0220,3,汤志燕报销费用-电子监测仪,660111,660111\销售费用\业务招待费,【部门档案：营销中心】【软件项目辅助核算：电子监测仪】,人民币, 651.00 ,
07,22,记账-0164,1,汤志燕出差重庆,660109,660109\销售费用\差旅费,【部门档案：营销中心】【软件项目辅助核算：北京项目公摊】,人民币," 2,058.21 ",
07,22,记账-0167,1,郝琳出差徐州,660109,660109\销售费用\差旅费,【部门档案：营销中心】【软件项目辅助核算：北京项目公摊】,人民币," 1,318.21 ",
07,22,记账-0167,4,郝琳报销快递费,660108,660108\销售费用\办公费,【部门档案：营销中心】【软件项目辅助核算：北京项目公摊】,人民币, 25.00 ,
07,22,记账-0167,5,郝琳报销车费,660109,660109\销售费用\差旅费,【部门档案：营销中心】【软件项目辅助核算：北京项目公摊】,人民币, 209.02 ,
07,22,记账-0168,1,郝琳报销费用-南炮训练中心,660111,660111\销售费用\业务招待费,【部门档案：营销中心】【软件项目辅助核算：南炮训练中心建设】,人民币," 2,080.00 ",
07,22,记账-0168,2,郝琳报销费用,660111,660111\销售费用\业务招待费,【部门档案：营销中心】【软件项目辅助核算：北京项目公摊】,人民币, 519.00 ,
07,22,记账-0168,3,郝琳报销费用,660111,660111\销售费用\业务招待费,【部门档案：营销中心】【软件项目辅助核算：北京项目公摊】,人民币," 4,338.00 ",
07,22,记账-0169,1,汤志燕出差合肥,660109,660109\销售费用\差旅费,【部门档案：营销中心】【软件项目辅助核算：北京项目公摊】,人民币, 315.54 ,
07,22,记账-0169,3,汤志燕报销办公费,660108,660108\销售费用\办公费,【部门档案：营销中心】【软件项目辅助核算：北京项目公摊】,人民币, 249.56 ,
07,22,记账-0169,6,汤志燕报销餐费,660111,660111\销售费用\业务招待费,【部门档案：营销中心】【软件项目辅助核算：北京项目公摊】,人民币, 152.00 ,
07,23,记账-0205,1,张培培报销快递费,660108,660108\销售费用\办公费,【部门档案：营销中心】【软件项目辅助核算：北京项目公摊】,人民币," 1,500.00 ",
07,23,记账-0210,1,李志慧出差成都、上海住宿费-611所培训与仿真,660109,660109\销售费用\差旅费,【部门档案：培训事业中心】【软件项目辅助核算：成飞611所培训一体化平台】,人民币, 391.51 ,
07,23,记账-0210,3,李志慧出差成都、上海住宿费-611所培训与仿真,660109,660109\销售费用\差旅费,【部门档案：培训事业中心】【软件项目辅助核算：成飞611所培训一体化平台】,人民币, 440.00 ,
07,23,记账-0210,4,李志慧出差成都、上海飞机票-611所培训与仿真,660109,660109\销售费用\差旅费,【部门档案：培训事业中心】【软件项目辅助核算：成飞611所培训一体化平台】,人民币," 3,054.13 ",
07,23,记账-0210,7,李志慧出差成都、上海-611所培训与仿真,660109,660109\销售费用\差旅费,【部门档案：培训事业中心】【软件项目辅助核算：成飞611所培训一体化平台】,人民币, 215.14 ,
07,23,记账-0210,9,李志慧出差成都、上海-打车费、补贴611所培训与仿真,660109,660109\销售费用\差旅费,【部门档案：培训事业中心】【软件项目辅助核算：成飞611所培训一体化平台】,人民币, 850.59 ,
07,23,记账-0214,3,刘华忠出差徐州-陆军体验馆技术对接,660109,660109\销售费用\差旅费,【部门档案：营销中心】【软件项目辅助核算：北京项目公摊】,人民币, 595.70 ,
07,23,记账-0214,5,刘华忠出差徐州-陆军体验馆技术对接,660109,660109\销售费用\差旅费,【部门档案：营销中心】【软件项目辅助核算：北京项目公摊】,人民币, 297.03 ,
07,23,记账-0217,1,汤军报销,660111,660111\销售费用\业务招待费,【部门档案：营销中心】【软件项目辅助核算：14所体系评估】,人民币, 926.00 ,
07,23,记账-0217,2,汤军报销打车费,660109,660109\销售费用\差旅费,【部门档案：营销中心】【软件项目辅助核算：14所体系评估】,人民币, 117.00 ,
07,23,记账-0217,3,汤军报销,660111,660111\销售费用\业务招待费,【部门档案：营销中心】【软件项目辅助核算：310所体系评估】,人民币," 1,376.00 ",
07,23,记账-0217,4,汤军报销,660111,660111\销售费用\业务招待费,【部门档案：营销中心】【软件项目辅助核算：310所体系评估】,人民币," 1,376.00 ",
07,23,记账-0219,1,郝琳报销打车费,660109,660109\销售费用\差旅费,【部门档案：营销中心】【软件项目辅助核算：北京项目公摊】,人民币, 257.29 ,
07,23,记账-0221,1,郝琳出差徐州、青岛住宿费-电子监测仪,660109,660109\销售费用\差旅费,【部门档案：营销中心】【软件项目辅助核算：电子监测仪】,人民币," 1,022.77 ",
07,23,记账-0221,5,郝琳出差徐州、青岛-电子监测仪,660109,660109\销售费用\差旅费,【部门档案：营销中心】【软件项目辅助核算：电子监测仪】,人民币," 1,207.83 ",
07,28,记账-0245,29,计提6月份工资,660101,660101\销售费用\工资,【部门档案：营销中心】【软件项目辅助核算：电子监测仪】,人民币," 21,143.00 ",
07,28,记账-0245,30,计提6月份工资,660101,660101\销售费用\工资,【部门档案：营销中心】【软件项目辅助核算：山地高原伴随桥训练模拟器】,人民币," 1,580.00 ",
07,28,记账-0245,31,计提6月份工资,660101,660101\销售费用\工资,【部门档案：营销中心】【软件项目辅助核算：抛撒布雷车】,人民币," 2,678.00 ",
07,28,记账-0245,32,计提6月份工资,660101,660101\销售费用\工资,【部门档案：营销中心】【软件项目辅助核算：视频会议】,人民币," 1,823.00 ",
07,28,记账-0245,33,计提6月份工资,660101,660101\销售费用\工资,【部门档案：营销中心】【软件项目辅助核算：交互式使用维护操作支持模块】,人民币," 9,236.00 ",
07,28,记账-0245,34,计提6月份工资,660101,660101\销售费用\工资,【部门档案：营销中心】【软件项目辅助核算：面向体系论证评估的机器学习应用关键技术研究】,人民币," 6,927.00 ",
07,28,记账-0245,35,计提6月份工资,660101,660101\销售费用\工资,【部门档案：营销中心】【软件项目辅助核算：kj体系贡献率评估项目】,人民币," 4,618.00 ",
07,28,记账-0245,36,计提6月份工资,660101,660101\销售费用\工资,【部门档案：营销中心】【软件项目辅助核算：空降兵特种作战增强现实头盔】,人民币," 4,618.00 ",
07,28,记账-0245,37,计提6月份工资,660101,660101\销售费用\工资,【部门档案：营销中心】【软件项目辅助核算：民用飞机改医疗飞机】,人民币," 6,927.00 ",
07,28,记账-0245,38,计提6月份工资,660101,660101\销售费用\工资,【部门档案：营销中心】【软件项目辅助核算：装甲模拟训练器】,人民币," 2,678.00 ",
07,28,记账-0245,39,计提6月份工资,660101,660101\销售费用\工资,【部门档案：营销中心】【软件项目辅助核算：内蒙国防教育基地】,人民币," 2,309.00 ",
07,28,记账-0245,40,计提6月份工资,660101,660101\销售费用\工资,【部门档案：营销中心】【软件项目辅助核算：装技所体系评估】,人民币," 3,570.00 ",
07,28,记账-0245,41,计提6月份工资,660101,660101\销售费用\工资,【部门档案：营销中心】【软件项目辅助核算：陆工大体系评估】,人民币," 6,248.00 ",
07,28,记账-0245,42,计提6月份工资,660101,660101\销售费用\工资,【部门档案：营销中心】【软件项目辅助核算：装工院体系评估】,人民币," 2,678.00 ",
07,28,记账-0245,43,计提6月份工资,660101,660101\销售费用\工资,【部门档案：营销中心】【软件项目辅助核算：无锡一所体系评估】,人民币," 2,370.00 ",
07,28,记账-0245,44,计提6月份工资,660101,660101\销售费用\工资,【部门档案：营销中心】【软件项目辅助核算：无锡一所仿真实验室建设】,人民币," 1,580.00 ",
07,28,记账-0245,45,计提6月份工资,660101,660101\销售费用\工资,【部门档案：营销中心】【软件项目辅助核算：28所数据分析】,人民币," 4,653.00 ",
07,28,记账-0245,46,计提6月份工资,660101,660101\销售费用\工资,【部门档案：营销中心】【软件项目辅助核算：32基地数据分析】,人民币," 3,160.00 ",
07,28,记账-0245,47,计提6月份工资,660101,660101\销售费用\工资,【部门档案：营销中心】【软件项目辅助核算：南炮训练中心建设】,人民币," 7,049.00 ",
07,28,记账-0245,48,计提6月份工资,660101,660101\销售费用\工资,【部门档案：营销中心】【软件项目辅助核算：310所体系评估】,人民币, 776.00 ,
07,28,记账-0245,49,计提6月份工资,660101,660101\销售费用\工资,【部门档案：营销中心】【软件项目辅助核算：706所体系评估】,人民币, 776.00 ,
07,28,记账-0245,50,计提6月份工资,660101,660101\销售费用\工资,【部门档案：营销中心】【软件项目辅助核算：723所体系评估】,人民币," 4,653.00 ",
07,28,记账-0245,51,计提6月份工资,660101,660101\销售费用\工资,【部门档案：营销中心】【软件项目辅助核算：14所体系评估】,人民币," 4,653.00 ",
07,28,记账-0245,52,计提6月份工资,660101,660101\销售费用\工资,【部门档案：营销中心】【软件项目辅助核算：三维伪装场景仿真建模】,人民币, 790.00 ,
07,28,记账-0245,53,计提6月份工资,660101,660101\销售费用\工资,【部门档案：营销中心】【软件项目辅助核算：北京项目公摊】,人民币," 8,886.00 ",
07,28,记账-0245,91,计提6月份工资,660101,660101\销售费用\工资,【部门档案：培训销售部】【软件项目辅助核算：风电场VR虚拟沙盘】,人民币," 7,467.00 ",
07,28,记账-0245,92,计提6月份工资,660101,660101\销售费用\工资,【部门档案：培训销售部】【软件项目辅助核算：仿真理论教学系统（SBT）】,人民币," 3,515.00 ",
07,28,记账-0245,93,计提6月份工资,660101,660101\销售费用\工资,【部门档案：培训销售部】【软件项目辅助核算：培训一体化管理平台】,人民币," 6,996.00 ",
07,28,记账-0245,94,计提6月份工资,660101,660101\销售费用\工资,【部门档案：培训销售部】【软件项目辅助核算：陆军特战学院无人侦察机模拟训练项目】,人民币," 19,070.00 ",
07,28,记账-0245,95,计提6月份工资,660101,660101\销售费用\工资,【部门档案：培训销售部】【软件项目辅助核算：障碍物智能评估系统】,人民币," 1,976.00 ",
07,28,记账-0245,96,计提6月份工资,660101,660101\销售费用\工资,【部门档案：培训销售部】【软件项目辅助核算：大电力板块（包含风电+输电体系）】,人民币," 7,467.00 ",
07,28,记账-0245,97,计提6月份工资,660101,660101\销售费用\工资,【部门档案：培训销售部】【软件项目辅助核算：中国商飞模拟器及训练产品销售项目】,人民币," 14,934.00 ",
07,28,记账-0245,98,计提6月份工资,660101,660101\销售费用\工资,【部门档案：培训销售部】【软件项目辅助核算：海航大VR实训交互系统项目】,人民币," 8,535.00 ",
07,31,记账-0241,28,计提7月份社保、公积金,66010301,66010301\销售费用\社会保险费\医疗保险费,【部门档案：产品开发部】【软件项目辅助核算：民航项目公摊】,人民币, 60.62 ,
07,31,记账-0241,45,计提7月份社保、公积金,66010301,66010301\销售费用\社会保险费\医疗保险费,【部门档案：培训销售部】【软件项目辅助核算：仿真理论教学系统（SBT）】,人民币, 90.00 ,
07,31,记账-0241,46,计提7月份社保、公积金,66010301,66010301\销售费用\社会保险费\医疗保险费,【部门档案：培训销售部】【软件项目辅助核算：培训一体化管理平台】,人民币, 160.69 ,
07,31,记账-0241,47,计提7月份社保、公积金,66010301,66010301\销售费用\社会保险费\医疗保险费,【部门档案：培训销售部】【软件项目辅助核算：风电场VR训练平台】,人民币, 38.25 ,
07,31,记账-0241,48,计提7月份社保、公积金,66010301,66010301\销售费用\社会保险费\医疗保险费,【部门档案：培训销售部】【软件项目辅助核算：陆军特战学院无人侦察机模拟训练项目】,人民币, 105.62 ,
07,31,记账-0241,49,计提7月份社保、公积金,66010301,66010301\销售费用\社会保险费\医疗保险费,【部门档案：培训销售部】【软件项目辅助核算：成飞611所培训一体化平台】,人民币, 83.12 ,
07,31,记账-0241,50,计提7月份社保、公积金,66010301,66010301\销售费用\社会保险费\医疗保险费,【部门档案：培训销售部】【软件项目辅助核算：SBT虚拟仿真训练系统】,人民币, 54.00 ,
07,31,记账-0241,51,计提7月份社保、公积金,66010301,66010301\销售费用\社会保险费\医疗保险费,【部门档案：培训销售部】【软件项目辅助核算：障碍物智能评估系统】,人民币, 123.75 ,
07,31,记账-0241,52,计提7月份社保、公积金,66010301,66010301\销售费用\社会保险费\医疗保险费,【部门档案：培训销售部】【软件项目辅助核算：电科27所试验数据服务系统】,人民币, 30.31 ,
07,31,记账-0241,53,计提7月份社保、公积金,66010301,66010301\销售费用\社会保险费\医疗保险费,【部门档案：培训销售部】【软件项目辅助核算：大电力板块（包含风电+输电体系）】,人民币, 108.00 ,
07,31,记账-0241,54,计提7月份社保、公积金,66010301,66010301\销售费用\社会保险费\医疗保险费,【部门档案：培训销售部】【软件项目辅助核算：中国商飞模拟器及训练产品销售项目】,人民币, 123.75 ,
07,31,记账-0241,55,计提7月份社保、公积金,66010301,66010301\销售费用\社会保险费\医疗保险费,【部门档案：培训销售部】【软件项目辅助核算：通航训练器产品】,人民币, 75.31 ,
07,31,记账-0241,56,计提7月份社保、公积金,66010301,66010301\销售费用\社会保险费\医疗保险费,【部门档案：培训销售部】【软件项目辅助核算：海航大VR实训交互系统项目】,人民币, 75.31 ,
07,31,记账-0241,75,计提7月份社保、公积金,66010301,66010301\销售费用\社会保险费\医疗保险费,【部门档案：营销中心】【软件项目辅助核算：电子监测仪】,人民币, 197.62 ,
07,31,记账-0241,76,计提7月份社保、公积金,66010301,66010301\销售费用\社会保险费\医疗保险费,【部门档案：营销中心】【软件项目辅助核算：抛撒布雷车】,人民币, 83.36 ,
07,31,记账-0241,77,计提7月份社保、公积金,66010301,66010301\销售费用\社会保险费\医疗保险费,【部门档案：营销中心】【软件项目辅助核算：战场伪装规划与辅助决策系统】,人民币, 63.00 ,
07,31,记账-0241,78,计提7月份社保、公积金,66010301,66010301\销售费用\社会保险费\医疗保险费,【部门档案：营销中心】【软件项目辅助核算：交互式使用维护操作支持模块】,人民币, 30.31 ,
07,31,记账-0241,79,计提7月份社保、公积金,66010301,66010301\销售费用\社会保险费\医疗保险费,【部门档案：营销中心】【软件项目辅助核算：kj体系贡献率评估项目】,人民币, 3.03 ,
07,31,记账-0241,80,计提7月份社保、公积金,66010301,66010301\销售费用\社会保险费\医疗保险费,【部门档案：营销中心】【软件项目辅助核算：空降兵特种作战增强现实头盔】,人民币, 84.81 ,
07,31,记账-0241,81,计提7月份社保、公积金,66010301,66010301\销售费用\社会保险费\医疗保险费,【部门档案：营销中心】【软件项目辅助核算：民用飞机改医疗飞机】,人民币, 9.09 ,
07,31,记账-0241,82,计提7月份社保、公积金,66010301,66010301\销售费用\社会保险费\医疗保险费,【部门档案：营销中心】【软件项目辅助核算：装甲模拟训练器】,人民币, -166.98 ,
07,31,记账-0241,83,计提7月份社保、公积金,66010301,66010301\销售费用\社会保险费\医疗保险费,【部门档案：营销中心】【软件项目辅助核算：装技所体系评估】,人民币, 138.93 ,
07,31,记账-0241,84,计提7月份社保、公积金,66010301,66010301\销售费用\社会保险费\医疗保险费,【部门档案：营销中心】【软件项目辅助核算：陆工大体系评估】,人民币, 194.50 ,
07,31,记账-0241,85,计提7月份社保、公积金,66010301,66010301\销售费用\社会保险费\医疗保险费,【部门档案：营销中心】【软件项目辅助核算：装工院体系评估】,人民币, 55.44 ,
07,31,记账-0241,86,计提7月份社保、公积金,66010301,66010301\销售费用\社会保险费\医疗保险费,【部门档案：营销中心】【软件项目辅助核算：无锡一所体系评估】,人民币, 37.56 ,
07,31,记账-0241,87,计提7月份社保、公积金,66010301,66010301\销售费用\社会保险费\医疗保险费,【部门档案：营销中心】【软件项目辅助核算：无锡一所仿真实验室建设】,人民币, 34.53 ,
07,31,记账-0241,88,计提7月份社保、公积金,66010301,66010301\销售费用\社会保险费\医疗保险费,【部门档案：营销中心】【软件项目辅助核算：28所数据分析】,人民币, 75.78 ,
07,31,记账-0241,89,计提7月份社保、公积金,66010301,66010301\销售费用\社会保险费\医疗保险费,【部门档案：营销中心】【软件项目辅助核算：32基地数据分析】,人民币, 15.75 ,
07,31,记账-0241,90,计提7月份社保、公积金,66010301,66010301\销售费用\社会保险费\医疗保险费,【部门档案：营销中心】【软件项目辅助核算：南炮训练中心建设】,人民币, 10.42 ,
07,31,记账-0241,91,计提7月份社保、公积金,66010301,66010301\销售费用\社会保险费\医疗保险费,【部门档案：营销中心】【软件项目辅助核算：310所体系评估】,人民币, 15.16 ,
07,31,记账-0241,92,计提7月份社保、公积金,66010301,66010301\销售费用\社会保险费\医疗保险费,【部门档案：营销中心】【软件项目辅助核算：706所体系评估】,人民币, 15.16 ,
07,31,记账-0241,93,计提7月份社保、公积金,66010301,66010301\销售费用\社会保险费\医疗保险费,【部门档案：营销中心】【软件项目辅助核算：航天七院体系评估】,人民币, 15.16 ,
07,31,记账-0241,94,计提7月份社保、公积金,66010301,66010301\销售费用\社会保险费\医疗保险费,【部门档案：营销中心】【软件项目辅助核算：723所体系评估】,人民币, 106.09 ,
07,31,记账-0241,95,计提7月份社保、公积金,66010301,66010301\销售费用\社会保险费\医疗保险费,【部门档案：营销中心】【软件项目辅助核算：14所体系评估】,人民币, 75.78 ,
07,31,记账-0241,96,计提7月份社保、公积金,66010301,66010301\销售费用\社会保险费\医疗保险费,【部门档案：营销中心】【软件项目辅助核算：三维伪装场景仿真建模】,人民币, 3.03 ,
07,31,记账-0241,97,计提7月份社保、公积金,66010301,66010301\销售费用\社会保险费\医疗保险费,【部门档案：营销中心】【软件项目辅助核算：扬州江都国土项目】,人民币, 45.47 ,
07,31,记账-0241,98,计提7月份社保、公积金,66010301,66010301\销售费用\社会保险费\医疗保险费,【部门档案：营销中心】【软件项目辅助核算：北京项目公摊】,人民币, 555.70 ,
07,31,记账-0241,145,计提7月份社保、公积金,66010305,66010305\销售费用\社会保险费\生育保险费,【部门档案：产品开发部】【软件项目辅助核算：民航项目公摊】,人民币, 5.39 ,
07,31,记账-0241,162,计提7月份社保、公积金,66010305,66010305\销售费用\社会保险费\生育保险费,【部门档案：培训销售部】【软件项目辅助核算：仿真理论教学系统（SBT）】,人民币, 8.00 ,
07,31,记账-0241,163,计提7月份社保、公积金,66010305,66010305\销售费用\社会保险费\生育保险费,【部门档案：培训销售部】【软件项目辅助核算：培训一体化管理平台】,人民币, 14.28 ,
07,31,记账-0241,164,计提7月份社保、公积金,66010305,66010305\销售费用\社会保险费\生育保险费,【部门档案：培训销售部】【软件项目辅助核算：风电场VR训练平台】,人民币, 3.40 ,
07,31,记账-0241,165,计提7月份社保、公积金,66010305,66010305\销售费用\社会保险费\生育保险费,【部门档案：培训销售部】【软件项目辅助核算：陆军特战学院无人侦察机模拟训练项目】,人民币, 9.39 ,
07,31,记账-0241,166,计提7月份社保、公积金,66010305,66010305\销售费用\社会保险费\生育保险费,【部门档案：培训销售部】【软件项目辅助核算：成飞611所培训一体化平台】,人民币, 7.39 ,
